service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2026-after-summer-holiday_saturday,0,0,0,0,0,1,0,20260901,20261231
2026-after-summer-holiday_sunday,0,0,0,0,0,0,1,20260901,20261231
2026-after-summer-holiday_weekend,0,0,0,0,0,1,1,20260901,20261231
2026-after-summer-monday,1,0,0,0,0,0,0,20260901,20261231
2026-after-summer-normal,1,1,1,1,1,0,0,20260901,20261231
2026-after-summer-saturday,0,0,0,0,0,1,0,20260901,20261231
2026-after-summer-sunday,0,0,0,0,0,0,1,20260901,20261231
2026-after-summer-tuesday_to_friday,0,1,1,1,1,0,0,20260901,20261231
2026-after-summer-weekend,0,0,0,0,0,1,1,20260901,20261231
2026-all-all,1,1,1,1,1,1,1,20260101,20261231
2026-all-normal,1,1,1,1,1,0,0,20260101,20261231
2026-all-weekend,0,0,0,0,0,1,1,20260101,20261231
2026-august-holiday_saturday,0,0,0,0,0,1,0,20260801,20260831
2026-august-normal,1,1,1,1,1,0,0,20260801,20260831
2026-august-sunday,0,0,0,0,0,0,1,20260801,20260831
2026-before-summer-holiday_saturday,0,0,0,0,0,1,0,20260101,20260630
2026-before-summer-holiday_sunday,0,0,0,0,0,0,1,20260101,20260630
2026-before-summer-holiday_weekend,0,0,0,0,0,1,1,20260101,20260630
2026-before-summer-monday,1,0,0,0,0,0,0,20260101,20260630
2026-before-summer-normal,1,1,1,1,1,0,0,20260101,20260630
2026-before-summer-saturday,0,0,0,0,0,1,0,20260101,20260630
2026-before-summer-sunday,0,0,0,0,0,0,1,20260101,20260630
2026-before-summer-tuesday_to_friday,0,1,1,1,1,0,0,20260101,20260630
2026-before-summer-weekend,0,0,0,0,0,1,1,20260101,20260630
2026-july-holiday_saturday,0,0,0,0,0,1,0,20260701,20260731
2026-july-normal,1,1,1,1,1,0,0,20260701,20260731
2026-july-sunday,0,0,0,0,0,0,1,20260701,20260731
2026-summer-all,1,1,1,1,1,1,1,20260701,20260831
2026-summer-holiday_sunday,0,0,0,0,0,0,1,20260701,20260831
2026-summer-holiday_weekend,0,0,0,0,0,1,1,20260701,20260831
2026-summer-normal,1,1,1,1,1,0,0,20260701,20260831
2026-summer-saturday,0,0,0,0,0,1,0,20260701,20260831
2026-summer-sunday,0,0,0,0,0,0,1,20260701,20260831
2026-summer-weekday_saturday,1,1,1,1,1,1,0,20260701,20260831
