stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
1,,Dispanseria,"Kryqëzimi i  Rrugës ?Ferit Xhajko? me  Rrugën ""Siri Kodra"".",41.3376659131258,19.821207668114134,,,0,,,0,,
2,,Tregu 5 Maji,"Pas kryqëzimit të Rrugës ""Ferrit Xhajko"" me rrugën ""5 Maji""",41.3400360797,19.8254209172,,,0,,,0,,
3,,Materniteti,"Blv. ?Zogu I?, pranë Martenitetit ?Mbretëresha Geraldinë",41.33472028839999,19.8168135171,,,0,,,0,,
4,,15 Katëshi A,"ne rrugen ""Urani Pano""",41.3305264769,19.818854334100003,,,0,,,0,,
5,,Dollari A,ne rrugen Ibrahim Rugova pas kryqezimit me rrugen e Kavajes,41.32755424195077,19.816286228318404,,,0,,,0,,
6,,Lulishte Çajupi,Përpara kryqëzimit të Blv. ?Bajram Curri? me Rrugën ?Gjin Bue Shpata?,41.3221438751,19.8109867374,,,0,,,0,,
7,,Stacioni i Trenit,"Pas kryqëzimit të Rrugës ""Reshit Petrela"", me Blv. ""Zogu I"" (Fillimi i Linjës)",41.33597249100001,19.817035887899998,,,0,,,0,,
8,,Posta 8,"Rrugën ?Sulejman Delvina?, pas Sheshit ?Uillson?",41.31820006129999,19.8129092962,,,0,,,0,,
9,,QSUT,"Në Rrugën e ?Dibrës?, mbas kryqëzimit të ?Unazës? me Rrugën e ?Dibrës?.",41.34028945364413,19.829783607488213,,,0,,,0,,
10,,Mjekësia,"Në Rrugën e ?Dibrës?, përpara ?Fakultetit të Mjekësisë?",41.34237901048119,19.83396514467747,,,0,,,0,,
11,,Mjekësia,"Në Rrugën e ?Dibrës?, përpara ""Fakultetit të Mjekësisë""",41.34182956969947,19.832458958998963,,,0,,,0,,
12,,Mentor Xhemali,"është në fillim të rrugës ""Rexhep Pinari""",41.314030499157155,19.798404505948003,,,0,,,0,,
13,,Selitë,"është në afërsi të kryqëzimit të rrugës ""Isuf Elezi"" me rrugën ""Qemal Butka""",41.31543461239999,19.797481164100002,,,0,,,0,,
14,,Rrapo Hekali,është në afërsi të kryqëzimit të rrugës ?Rapo Hekali? me Unazën e Madhe,41.31340554380733,19.801005192137417,,,0,,,0,,
15,,Qendra Kristal,"është në rrugën ?Prokop Mima?, në afërsi me mbikalimin e Unazës së Madhe.",41.31428566749342,19.800288539476107,,,0,,,0,,
16,,Prokop Mima,"është pas kryqëzimit të rrugës ""Prokop Mima"" me Rrugën ""Medar Shtylla""",41.3139472158011,19.80569512440799,,,0,,,0,,
17,,Dhimitër Shuteriqi,"është pas kryqëzimit të rrugës ""Dhimitër Shuteriqi"" me rrugën ""Tish Daija""",41.314467035082735,19.804246229775583,,,0,,,0,,
18,,Tish Daija,"është në fillim të rrugës ""Tish Daija""",41.3163699797,19.8058282961,,,0,,,0,,
19,,Lulishtja,është në kryqëzimin e Rrugës ?Medar Shtylla? me Rrugën ?Skënder Luarasi?,41.316634415299994,19.8068241997,,,0,,,0,,
20,,Stadiumi Dinamo,Pas kryqëzimit të Rrugës ?Sulejman Delvina? me Rrugën ?Komuna e Parisit?.,41.3192841529,19.8083760144,,,0,,,0,,
21,,Drejtoria Policisë B,"Përpara kryqëzimit të Rrugës ?Sami Frashëri?, me Rrugën ""Myslym Shyri""",41.3246982941,19.8128185726,,,0,,,0,,
22,,Parku Rinia,"Rrugën ""Myslym Shyri"", tek Lulishtja ""Parku Rinia""",41.32551732270001,19.8166275195,,,0,,,0,,
