stop_id,ticket_name
221,network pass
138,network pass
78,network pass
5,network pass
913,network pass
439,network pass
41,network pass
125,network pass
156,network pass
201,network pass
337,network pass
197,network pass
199,network pass
207,network pass
258,network pass
910,network pass
912,network pass
220,network pass
42,network pass
46,network pass
76,network pass
124,network pass
98,network pass
444,student pass
456,student pass
201,student pass
42,student pass
76,student pass
102,pensioner pass
131,pensioner pass
202,pensioner pass
7,pensioner pass
178,pensioner pass
467,pensioner pass
201,pensioner pass
42,pensioner pass
