service_id,date,exception_type
2026-before-summer-holiday_saturday,20260101,1
2026-before-summer-holiday_sunday,20260101,1
2026-before-summer-holiday_weekend,20260101,1
2026-before-summer-holiday_saturday,20260102,1
2026-before-summer-holiday_sunday,20260102,1
2026-before-summer-holiday_weekend,20260102,1
2026-before-summer-holiday_saturday,20260316,1
2026-before-summer-holiday_sunday,20260316,1
2026-before-summer-holiday_weekend,20260316,1
2026-before-summer-holiday_saturday,20260320,1
2026-before-summer-holiday_sunday,20260320,1
2026-before-summer-holiday_weekend,20260320,1
2026-before-summer-holiday_saturday,20260323,1
2026-before-summer-holiday_sunday,20260323,1
2026-before-summer-holiday_weekend,20260323,1
2026-before-summer-holiday_saturday,20260406,1
2026-before-summer-holiday_sunday,20260406,1
2026-before-summer-holiday_weekend,20260406,1
2026-before-summer-holiday_saturday,20260413,1
2026-before-summer-holiday_sunday,20260413,1
2026-before-summer-holiday_weekend,20260413,1
2026-before-summer-holiday_saturday,20260501,1
2026-before-summer-holiday_sunday,20260501,1
2026-before-summer-holiday_weekend,20260501,1
2026-before-summer-holiday_saturday,20260527,1
2026-before-summer-holiday_sunday,20260527,1
2026-before-summer-holiday_weekend,20260527,1
2026-after-summer-holiday_sunday,20260907,1
2026-after-summer-holiday_weekend,20260907,1
2026-september-holiday_saturday,20260907,1
2026-after-summer-holiday_sunday,20261123,1
2026-after-summer-holiday_weekend,20261123,1
2026-after-summer-short-holiday_saturday,20261123,1
2026-after-summer-holiday_sunday,20261130,1
2026-after-summer-holiday_weekend,20261130,1
2026-after-summer-short-holiday_saturday,20261130,1
2026-after-summer-holiday_sunday,20261201,1
2026-after-summer-holiday_weekend,20261201,1
2026-after-summer-short-holiday_saturday,20261201,1
2026-after-summer-holiday_sunday,20261208,1
2026-after-summer-holiday_weekend,20261208,1
2026-after-summer-short-holiday_saturday,20261208,1
2026-after-summer-holiday_sunday,20261225,1
2026-after-summer-holiday_weekend,20261225,1
2026-after-summer-short-holiday_saturday,20261225,1
2026-off-summer-holiday_0101_0102,20260102,1
2026-off-summer-holiday_0102,20260102,1
2026-off-summer-holiday_0103,20260103,1
2026-after-summer-all,20261130,2
2026-after-summer-short-normal,20261130,2
2026-after-summer-monday,20261130,2
2026-after-summer-normal,20261130,2
2026-before-summer-monday,20260406,2
2026-before-summer-normal,20260406,2
2026-before-summer-all,20260406,2
2026-before-summer-monday,20260323,2
2026-before-summer-normal,20260323,2
2026-before-summer-all,20260323,2
2026-before-summer-monday,20260316,2
2026-before-summer-normal,20260316,2
2026-before-summer-all,20260316,2
2026-after-summer-all,20261123,2
2026-after-summer-short-normal,20261123,2
2026-after-summer-monday,20261123,2
2026-after-summer-normal,20261123,2
2026-september-normal,20260907,2
2026-after-summer-all,20260907,2
2026-after-summer-monday,20260907,2
2026-after-summer-normal,20260907,2
2026-before-summer-monday,20260413,2
2026-before-summer-normal,20260413,2
2026-before-summer-all,20260413,2
2026-after-summer-normal,20261201,2
2026-after-summer-all,20261201,2
2026-after-summer-short-normal,20261201,2
2026-after-summer-tuesday_to_friday,20261201,2
2026-after-summer-normal,20261208,2
2026-after-summer-all,20261208,2
2026-after-summer-short-normal,20261208,2
2026-after-summer-tuesday_to_friday,20261208,2
2026-before-summer-all,20260527,2
2026-before-summer-tuesday_to_friday,20260527,2
2026-before-summer-normal,20260527,2
2026-before-summer-normal,20260101,2
2026-before-summer-all,20260101,2
2026-before-summer-tuesday_to_friday,20260101,2
2026-before-summer-tuesday_to_friday,20260320,2
2026-before-summer-all,20260320,2
2026-before-summer-normal,20260320,2
2026-before-summer-tuesday_to_friday,20260501,2
2026-before-summer-all,20260501,2
2026-before-summer-normal,20260501,2
2026-after-summer-all,20261225,2
2026-after-summer-short-normal,20261225,2
2026-after-summer-normal,20261225,2
2026-after-summer-tuesday_to_friday,20261225,2
2026-before-summer-tuesday_to_friday,20260102,2
2026-before-summer-all,20260102,2
2026-before-summer-normal,20260102,2
